id,age,sfr,metallicity
5149,9.21017,8.263,0.2
5155,9.10014,41.09,1
5157,9.15998,4.355,1
5167,7.80013,198.8,0.2
5169,7.20012,248.9,0.2
5170,8.55009,6.083,1
5174,7.05008,311.1,0.2
5180,8.35016,24.86,1
5181,9.00011,12.19,1
5185,8.80014,24.44,0.2
5193,9.44008,1.499,2.5
5198,8.40013,6.736,1
5199,9.15998,21.17,1
5204,9.51013,0.7213,0.2
5213,9.44008,3.054,2.5
5215,8.80014,12.24,1
5218,7.00009,30990,0.2
5227,9.76009,0.1603,1
5230,9.70013,1.3e-05,0.2
5240,8.25004,138.8,0.2
5241,9.11003,2.692,2.5
5244,9.74009,1e-06,0.2
5247,9.48013,9.323,2.5
5256,9.78015,0.3103,0.2
5257,8.6001,22.63,0.2
5262,9.41005,0.02974,1
5274,9.38015,18.32,2.5
5276,9.60011,0.131,1
5280,8.65013,35.05,1
5281,8.50007,4.716,1
5294,7.20012,92.39,0.2
5306,7.20012,182.5,0.02
5310,9.15998,2.542,2.5
5319,9.50008,3.918,1
5323,8.75008,36.06,1
5331,8.55009,13.43,1
5332,7.15023,188,0.2
5342,9.28001,3.028,1
5350,9.11003,4.467,2.5
5356,9.15998,16.13,1
5357,9.36014,6.201,1
5361,9.30006,5.905,0.2
5370,9.51013,0.02484,0.2
5378,8.50007,3.034,0.02
5382,7.15023,124.2,0.2
5384,9.70013,0.00513,0.2
5405,8.50007,7.651,1
5413,9.88014,0,0.2
5416,9.40014,7.586,1
5419,8.6001,5.804,1
5437,7.00009,507.1,0.2
5446,9.06006,10.05,1
5447,9.06006,34.36,0.2
5452,9.21017,5.738,2.5
5461,7.60009,155.1,1
5464,9.21017,0.7341,1
5469,9.05011,6.879,1
5478,10.0001,0,0.2
5482,9.5501,14.6,0.2
5486,8.65013,26.89,0.2
5487,8.95014,13.29,1
5498,8.35016,5.717,0.2
5509,9.11003,13.56,2.5
5515,9.35017,40.7,0.2
