id,mag,mass,zbest,zspec,ra,dec
2010,22.5306,10.5095,1.49,-99,150.064039,2.203295
2014,22.2932,10.2021,1.9586,-99,150.197816,2.203423
2016,22.3055,10.2745,1.139,-99,150.17991,2.203646
2021,23.1786,9.6588,1.69,-99,150.080324,2.203722
2033,24.4001,9.55001,3.056,-99,150.16777,2.204355
2039,24.825,9.53676,3.4235,-99,150.169145,2.204464
2044,23.7128,9.94106,1.504,-99,150.157805,2.203905
2049,21.4928,10.2101,0.646,-99,150.114134,2.203747
2057,23.8593,10.3922,2.424,-99,150.079119,2.204197
2060,23.315,9.80629,1.25,-99,150.101102,2.204248
2063,20.3278,10.66,0.68,-99,150.092551,2.203012
2066,22.7016,9.85633,0.957,-99,150.093329,2.203552
2067,22.1675,10.1495,0.9581,-99,150.060212,2.203978
2075,24.4179,10.498,3.318,-99,150.053503,2.204465
2080,22.0223,10.2382,0.91,-99,150.102629,2.203705
2085,20.6562,10.8022,0.82,-99,150.114068,2.202876
2088,23.1048,10.2497,2.27,-99,150.072029,2.20445
2089,21.157,11.0197,1.269,-99,150.099735,2.203762
2093,23.1383,10.4415,2.0005,-99,150.189862,2.204802
2103,21.0709,10.8306,1.225,-99,150.099828,2.203273
2110,22.9929,9.8357,1.07,-99,150.158836,2.204867
2114,21.0235,10.1584,0.66,-99,150.15057,2.204676
2123,21.6748,10.4162,0.93,-99,150.093125,2.204259
2124,23.286,9.76358,2.502,-99,150.18345,2.205169
2134,24.8897,9.27549,3.119,-99,150.082898,2.205543
2139,22.9004,10.8523,2.181,-99,150.061656,2.205389
2141,24.1183,9.84727,2.92,-99,150.203008,2.205427
2144,22.3817,10.3651,1.75,-99,150.12712,2.204977
2151,22.7119,10.6257,1.63,-99,150.171178,2.2053
2156,23.5874,9.55388,2.081,-99,150.095177,2.205499
2164,22.0037,10.9577,1.742,-99,150.067224,2.204725
2173,23.9199,10.6844,2.782,-99,150.164132,2.205779
2185,20.8846,10.9078,1.21,-99,150.138669,2.20502
2190,23.5714,10.34,1.5,-99,150.188065,2.206232
2207,24.8842,9.29438,3.131,-99,150.052121,2.206528
2213,23.1627,10.9987,1.907,-99,150.172776,2.206229
2225,24.1595,10.1395,1.657,-99,150.159299,2.206684
2231,19.4617,10.8655,0.605,-99,150.201775,2.204959
2233,22.7483,10.3726,1.98,-99,150.076988,2.206363
2238,20.5096,10.4261,0.731,-99,150.155459,2.205452
2241,20.7296,11.1325,1.307,-99,150.100766,2.205786
2244,20.3821,10.1431,0.427,-99,150.096578,2.205258
2245,21.1743,10.7441,0.99,-99,150.055262,2.205822
2247,18.5253,10.7913,0.311,-99,150.17543,2.20477
2253,21.8465,10.5642,1.076,-99,150.107397,2.206352
2265,23.3288,10.0082,1.22,-99,150.06372,2.206947
2266,24.3132,9.77627,2.25,-99,150.134586,2.207152
2270,22.8334,9.71435,1.06,-99,150.109169,2.206401
2277,23.2371,9.86598,1.176,-99,150.107779,2.207055
2280,22.1791,9.53011,0.84,-99,150.183567,2.206388
2281,24.858,9.29195,3.48,-99,150.153435,2.207352
2283,22.615,10.0903,1.313,-99,150.077062,2.206636
2292,20.768,10.0495,0.663,-99,150.162739,2.206027
2296,23.9151,9.54011,2.37,-99,150.059589,2.207294
2304,22.1956,10.3502,1.387,-99,150.11147,2.206536
2305,21.2433,10.2556,0.89,-99,150.109242,2.205754
2312,23.9343,9.65718,2.221,-99,150.114723,2.207232
2316,23.373,9.87423,1.98,-99,150.174292,2.207335
2323,19.2235,11.231,0.7632,-99,150.095635,2.203716
2328,24.6422,9.491,2.22,-99,150.126053,2.207698
2335,21.6183,10.8239,1.5594,-99,150.184119,2.206762
2337,24.301,10.3479,4.77,-99,150.173524,2.207761
2338,21.7635,10.6036,1.1,-99,150.181367,2.206588
